date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2031%20May%202025%2017:13:10%20GMT	https://checkbep20.com/security-guide.html	C:/My%20Web%20Sites/checkbep20/checkbep20.com/security-guide.html	(from https://checkbep20.com/)
22:43:11	38251/38251	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2017:13:10%20GMT	https://checkbep20.com/security-guide	C:/My%20Web%20Sites/checkbep20/checkbep20.com/security-guide.html	(from https://checkbep20.com/)
22:43:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2031%20May%202025%2017:13:10%20GMT	https://checkbep20.com/check-transaction.html	C:/My%20Web%20Sites/checkbep20/checkbep20.com/check-transaction.html	(from https://checkbep20.com/)
22:43:12	18640/18640	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2017:13:11%20GMT	https://checkbep20.com/check-transaction	C:/My%20Web%20Sites/checkbep20/checkbep20.com/check-transaction.html	(from https://checkbep20.com/)
22:43:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2031%20May%202025%2017:13:11%20GMT	https://checkbep20.com/admin/login.html	C:/My%20Web%20Sites/checkbep20/checkbep20.com/admin/login.html	(from https://checkbep20.com/)
22:43:12	8999/8999	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2017:13:11%20GMT	https://checkbep20.com/admin/login	C:/My%20Web%20Sites/checkbep20/checkbep20.com/admin/login.html	(from https://checkbep20.com/)
22:43:12	151/151	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2031%20May%202025%2017:13:12%20GMT	https://checkbep20.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/checkbep20/checkbep20.com/cdn-cgi/l/email-protection	(from https://checkbep20.com/)
22:43:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2031%20May%202025%2017:13:12%20GMT	https://checkbep20.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/checkbep20/checkbep20.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://checkbep20.com/)
22:43:13	80420/80420	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a24-kNFQNu9I/LM2oTW66BK0VmnxkEQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/checkbep20/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	(from https://checkbep20.com/)
22:43:13	8059/8059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e51e3dceeec42ba9d44936c22eb8be2f%22	https://checkbep20.com/static/js/main.js	C:/My%20Web%20Sites/checkbep20/checkbep20.com/static/js/main.js	(from https://checkbep20.com/)
